2024-07-30 18:42:49,027 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-07-30 18:42:49,061 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-07-30 18:42:49,061 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-07-30 18:42:49,062 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-07-30 18:42:49,063 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-07-30 18:42:49,063 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-07-30 18:42:49,064 INFO  SwAddin.cs: 201 - Setting up command manager
2024-07-30 18:42:49,064 INFO  SwAddin.cs: 204 - Adding command manager
2024-07-30 18:42:49,066 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-07-30 18:42:49,067 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-07-30 18:42:49,067 INFO  SwAddin.cs: 210 - Adding event handlers
2024-07-30 18:42:49,075 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-07-30 18:42:59,616 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1 by lalit kumar.SLDASM
2024-07-30 18:43:01,549 INFO  SwAddin.cs: 313 - Saving assembly
2024-07-30 18:43:02,801 INFO  SwAddin.cs: 316 - Opening property manager
2024-07-30 18:43:02,815 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1 by lalit kumar.SLDASM
2024-07-30 18:43:02,821 INFO  ExportHelperExtension.cs: 1136 - Found 54 in Assem1 by lalit kumar.SLDASM
2024-07-30 18:43:02,822 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assem1 by lalit kumar.SLDASM
2024-07-30 18:43:02,823 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-07-30 18:43:02,823 INFO  ExportHelperExtension.cs: 1160 - 7 components to check
2024-07-30 18:43:02,824 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from J6-1
2024-07-30 18:43:02,824 INFO  ExportHelperExtension.cs: 1136 - Found 24 in J6-1
2024-07-30 18:43:02,825 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in J6-1
2024-07-30 18:43:02,825 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Base-1
